|||||||DEATHS|OCCURRING IN-|||||
Rensselaer|212|Il 209|II 179|Il 128|29|12|1|4|5|28|2|3||
Rochester|426|It 410|Il 337|II 208|61|29|4|14|21|70|3|16||
Rome*|114|Il 113|Il 89|Il 47|22|6|1|6|7|24||1||
Saratoga Springs Schenectady|3,663|3,634|2,521|1.052|969|316|29|63|92|1,087|26|27||2
|515|Il 505|II 394|Il 187|114|52|5|20|16|104|7|10||
Syracuse|270|II 258|Il 203|Il 120|36|15|3|13|16|52|3|12||
Tonawanda|884|II 881|"Il 635.|"|321|197|48|8|24|37|242|4|3||
Troy||||||||||||||
Utica*|2,139|2,114|1.637|860|467|151|24|81|54|470|7|25||
|76|II 76|Il 51|II 21|20|9|1|||24|1|||
Watertown|1,161|Il 1,147|B 825|Il 406|254|104|8|24|29|312|10|14||
Watervliet White Plains|1,417|1,409|II 1,049|II 440|421|96|12|24|56|349|11|8||
Yonkers|482|480|380|226|72|49|3|15|15|99|1|2||
|179|179|128|Il 48|61|10|1|3|5|50|1|||
|020|II 202|II 129|II Q2|20|22|2|51|11|as|,|12 I||
|||""""|""" ou"|00|-|.|.|-|-|-|AU||
|960|Il 936|Il 618|II 222|279|82|6|15|14|309|9|24||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA,|All deaths.|||||One foreign the|parent born, other-||Parentage unknown.|Foreign|Nativ-|Negro.|Japa- nose.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued||||||||||||||
NORTH CAROLINA.|609|461|432|343|9|17|1|34|28|20|9|148||
Asheville*|697 II|396|381 Il|308|6|3|2|29|33|10|5|301||
Charlotte Durham|335 IF|146|145 Il|116||||18|11|1||189||
Gastonia|200 Il|150|149 Il|135||||6|8||1|50||
Goldsboro|200|68 Il|66 I|55||||7|4|2||132||
Greensboro|285|169|161|137|1||2|14|7|3|5|116||
High Point|183|133 Il|131 Il|124||||6|1|2||50||
||||||||||||||
New Bern|234|79|74|61|2|3||5|3|3|2|155||
Raleigh*|547|319 I|305 Il|217|2|1||16|69|3|11|228||
Rocky Mount|237|129 Il|127 Il|109|1|||9|8|1|1|108||
Salisbury|186|118|114|90||||17|7|2|2|68||
Wilmington Wilson|604 Il|311 I.|283 Il|222 I|7|7|3|24|20 I|20 I|8|293||
Winston-Salem|217 If|105|102 Il|86||1||10|5|1|2|112||
|626 Il|278|276 Il|241|1|2||18|14||2|348||
NORTH DAKOTA. Fargo|303|301|206|97|46|30|2|15|16|89|6|2||
OHIO.|1,564|1,495|1,151|678|260|70|18|54|71|322|22|67||2
Akron Alliance|283 II|270 Il|228 Il|151|28|24|1|15|9|40|2|12||1
Ashtabula|255 Il|252 Il|193 Il|120|38|12|3|10|10|56|3|3||
Barberton|176 Il|165 Il|121 Il|69|33|8||5|6|42|2|11||
Bellaire|184|179|153 II|93|30|17|2|8|3|24|2|4||1
Bucyrus|114|112|100|70|17|6||4|3|12||2||
Cambridge|166|160 li|148|131|8|2|1|6||12||6||
Canton|975 I|954 Il|776 Il|462|163|60|16|35|"40 |"|173|5|21||
Chillicothe|205|193 Il|181 II|126|21|5|2|11|16 I|11|1|12||
Cincinnati|5,700|4.954|3,687|1,879|1,097|333|52|141|185|1,204|63|745||1
Cleveland|8,697|8,019|4,930|1,670|2,256|534|75|135|260|2,997|92|669|1|8
Cleveland Heights.|110|108 l|72|38|19|10||3|2|33|3|2||
Columbus|3,176|2,796|2,402|1,523|324|152|36|133|234|302|92|378||2
Coshocton Cuyahoga Falls|161|159 Il|143 Il|101|15|9||7|11|14|2|2||
|85|85 II|69 Il|41|12|8||2|6|14|2|||
Dayton Cleveland|1,734|1,584|1,318|795|230|83|18|77|115|247|19|149||I
East East Liverpool|213|213 Il|155 Il|92|29|19|4|2|9|58||||
East Youngstown|328|324 Il|280 Il|213|22|17|3|13|12|39|5|4||
Elyria|128|115 Il|95 Il|5|84|6||||20||13||
|233|221|168 Il|81|42|17|5|11|12|48|5|12||
Findlay||||||||||||||
Fremont|211|206|186|145|13|8|1|13|6|20||5||
Hamilton|126|122|95 Il|49|20|7|1|8|10|27||4||
Ironton|487|462|397 Il|241|80|37|4|18|17|63|2|25||
Kenmore|204|193|181 II|139|4|8||12|18|11|1|11||
|95|94|73|44|15|7||3|4|20|1|1||
Lakewood||||||||||||||
Lancaster|379|379|280|148|78|30|5|5|14|99||||
Lima|190|190 II|181 Il|135|21|14||3|8|9||||
Lorain Mansfield|472 'I|453 H|417 Il|307|33|26|4|22|25|34|2|18||1
|372|352|244 Il|104|90|29|5|8|8|108||20||
Marietta|323 II|312 Il|257 Il|165|42|14|2|17|17|51|4|11||
Marion Martins Ferry|228|222|204|118|28|6|3|17|32|17|1|6||
Massillon|338 Il|331|303 Il|226|20|18|2|20|17|27|1|7||
Middletown|177 Il|166|122 Il|66|27|9|2|6|12|40|4|11||
|195 Il|189|147|79|29|14 I|5|7|13|41|1|6||
New Philadelphia|251 Il|225 Il|205 Il|161|18|6|3|8|9|20||26||
Newark||||||||||||||
Niles|114|112|103|69|14|9|4|2|5|9||2||
Norwood|371 If|366|332|231|40|12|3|24|22|30|4|5||
Piqua|141|140|100 Il|46|39|9|1|3|2|40||||1
|177 Il|175 Il|136 If|79|35|14|4|2|2|39||2||
Portsmouth||||||||||||||
Salem|174 II|161 Il|144 II|99|18|9||9|9|16|1|13||
Sandusky||||||||||||||
Springfield|448|428|398|289|31|18|4|25|31|27|3|20||
Steubenville|143|139 Il|125|88|17|7|2|4|7|14||4||
|304 Il|291 Il|195 I|93|62|19|1|7|13|90|6|13||
Tiffin|729 Il|625 Il|552 II|401|56|23|1|20|51|68|5|104||
Toledo|354 I|333 Il|249|129|74|18|4|6|18|77|7|20||1
Warren||||||||||||||
Youngstown|205|204|178|107|40|10|2|7|12|25|1|1||
Zanesville|3,047|2,888 Il|2,145|1,181|489|226|25|88|I 136|704|39|156||3
1 No|376|354|275|169|50|24|4|13|15|72|7|22||
|1,554|1,426|966|388|381|101|16|31|49|437|23|128||
|469|446 Il|405 I|286|29|18|4|37|31|36|5|23||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-||Parentage unknown.||Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known the other native.|Both parents un- known.|Foreign born.|ity un- known.|||
REGISTRATION CITIES-Continued.||||||||||||||
MICHIGAN.|184|188|154|109|14|13|1|12|5|25|4|1||
Adrian|154 Il|154 Il|92 II|32|28|24|1 2|2|4|61|1|||
Alpena Ann Arbor'|504 If|483|392 II|198|91|38 I|5|27|33|85|6 I|21||
Battle Creek|582 II|572 Il|486 Il|304|48|32|7|"39 |"|56|77|9|10||
Bay City|632 II|628|425|216|83|65|9|14|he 38|198|5|3||1
Benton Harbor|181|174|140|80|21|12|2|5|e 20|81|81|6||1
Detroit|10.386|9.658 Il|6.223|2.225|2.307|962|117|267 I|345|3,230|200|728|4|1
Escanaba|215|215|120|44|38|28|3|2|5|84|11|||
Flint|847|823|665|378|123|79|15|26|44|149|9|24||
Grand Rapids|1.538 Il|1.522 Il|1.023|492|271|123|16|62|59|492|7|13|:|3
Hamtramck|452|415|315|23|262|21|8||1|97|3|37||
Highland Park|342 II|334 II|223|92|61|31|7|13 I|19|108|3|8||
Holland|105 II|104 Il|66 Il|34|20|10||1|1|38||1||
Ironwood|133 Il|133 Il|67 Il|14|42|11||||65|1|||
Ishpeming|116 It|116 Il|58 I|18|32|8||||57|1|||
Jackson|686|678|563|342|85|52|9|28|47|103|7|13||
Kalamazoo*|897 Il|881 II|676 Il|388|95|56|17|55|65|164|41|16||
Lansing|638 Il|627 Il|540 I|352|49|49|7|43|40|84|3|11||
Marquette Monroe|188 Il|188 Il|110 I|47|35|16|2|4|6|73|5|||
|130 II|130 Il|100 I|56|24|10||4|6|28|2|||
Muskegon Owosso.|469|462|277|122|68|37|6|9|35|180|5|6||1
Pontiac*|211|211 II|172|109|24|13|2|9|15|36|3|||
Port Huron|438 II|426 Il|305 II|184|59|37|4|"10 |"|11|115|6|12||
|374|366 Il|227 Il|107|70|35|3|5|7|136|3|8||
Saginaw||||||||||||||
Sault Ste. Marie|810|805|536|220|137|76|16|85|52|265|4|5||
Traverse City *|154 II|152 Il|95 II|33|27|27|1|3|4|53|4|||2
Wyandotte|347 II|340 Il|217 Il|103|42|23|4|12|33|109|14|2||5
|172 Il|171 II|120 Il|45|48|21|1|3|2|49|2||1|
MINNESOTA. Austin||||||||||||||
Duluth|111|110|-77|47|14|11|1|2|2|31|2|1||
Faribault|931 Il|924 II|488|194|167|92|5|9|21|429|7|5||2
Hibbing|207 II|206 II|143|59|50|15|1|4|14|60|3|||1
Mankato|182 Il|132 II|80 I|28|32|17||2|1|49|3|||
Minneapolis|198 Il|198 II|119 Il|49|29|11|8|6|16|77|2|||
Rochester|4,289 II|4,225 Il|2,735|1,248|851|388|24|121|103|1,456|34|60||4
St. Cloud|817|811|566|228|146|69|19|29|75|232|13|6||
St. Paul Virginia|192 Il|192 Il|137 Il|71|37|25||2|2|52|3|||
Winona|2,555 Il|2,495 Il|1.493 Il|638|523|208|23|51 I|50|987|15|56||4
|116 Il|116 Il|59 Il|16|30|10||3||49|8|||
MISSISSIPPI|245 II|245 Il|170|87|51|21|1.|4|6|74|1|||
Biloxi Columbus||||||||||||||
Greenville|157 li|126 Il|116 Il|75|18|11|3|5|4|7|3|31||
Hattiesburg|137 Il|53 Il|51 I|32|1|1||18|4|1|1|84||
Jackson|295 II|69 Il|63 I|34|10|2|2|4|11|5|1|225||1
|139 Il|74 If|72|59|1|3||5|4|1|1|65||
Laurel Meridian *|856 II|290 Il|266 II|167|9|8||16|66|7|17|566||
Natchez Vicksburg|217|125|121|89|3|4||11|14|2|2|92||
|450 If|229 Il|221|170|3|4|1|24|19|3|5|221||
MISSOURI.|199|64|59|44|3|2||8|7|5||135||
||||||||||||||
Cape Girardeau|541 Il|148 Il|115 Il|71|10|5|2|12|15|11|22|393||
Carthage||||||||||||||
Columbia||||||||||||||
Hannibal|186|168|151|97|22|5|2|9|16|11|6|18||
Independence|142 Il|136|125|79|6|4|1|9|26|10|1|6||
|172 Il|128 Il|122|96|5|5|2|12|2|3|3|44||
Jefferson City|220 II|194 I|174|112|12|7|2|16|25|16|4|26||
Joplin Kansas City|203 I|185 1|168 Il|112|16|5|1|13|21|17||18||
Moberly|174|145|115|70|15|5|2|6|17|20|10|29||
St.Joseph|415 Il|405 Il|378 Il|248|11|12|7|42|58|21|6|10||
St. Louis|4,654 Il|3,891 Il|3,179|1,799|332|179|55|338|476|546|166|758||5
Sedalia|207 Il|193 Il|181 Il|143|9|4|1|11|13|11|1|14||
Springfield|1,253|1,188|965|581|86|47|17|79|155|144|79|65||
|9,607|8,306|5,896|II 2,789|1,616|522|151|289|529|2,298|112|1,289|1|11
|300 Il|268 I|248|178|14|13|5|19|19|19|1|32||
|593 II|556 II|508|349|12|16|4|59|68|30|18|37 1.||J.

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.|||Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known|One parent un- known, the other native.|Both parents un- known.|Foreign born.|ity un- known.|||
REGISTRATION CITIES-Continued.||||||||||||||
PENNSYLVANIA-continued. Plymouth|160|160|110|51|42|12|I|4||50||||
Pottstown|274|262|Il 242|Il 208|16|7||8|3|19|1|11||1
Pottsville|392|389 II|299|II 196|68|23|5|3|4|87|3|3||
Punxsutawney|160 il|160 il|127|Il 85|25|14|1|1|1|33||||
Reading|1,437|1,425 Il|1,267|1,019|149|57|4|21|17|154|4|10||2
Scranton|1,949|1,939|1,221|523|495|126|15|34|28|708|10|10||
Shamokin Sharon|224 Il|224 Il|189 Il|133|34|18|2|2||35||||
Shenandoah|247 Il|233 II|167 Il|97|47|9|4|8|2|65|1|14||
Steelton|323 Il|323 II|231 II|61|132|27|4|1|6|89|3|||
|121 Il|85 il|69 Il|39|21|5||2|2|16||36||
Sunbury Swissvale|199|199|193|180|3|2||3|5|6||||
Tamaqua|123|116 Il|96 II|64|19|9|1|2|1|18|2|7||
Uniontown|127|127 il|99 Il|61|24|6|2|2|4|28||||
Warren|303|270 II|208|148|35|8|1|7|9|58|4|33||
Washington West Chester*|184|184|137|70|23|15|6|12|11|47||||
Wilkes-Barre|366 Il|331 Il|284 Il|204|41|15|1|12|11|47||35||
|324|270 Il|239 Il|195|17|10|3|10|4|29|2|54||
Wilkinsburg|1,122|1,116|746 Il|360|257|85|8|22|14|362|8|5||1
Williamsport||||||||||||||
Woodlawn|314|299|240|153|34|24|3|10|16|56|3|15||
York|567|547 Il|478 Il|352|52|35|5|24|10|61|8|20||
|100|89 Il|66 Il|21|41|2||1|1|22|1|11||
RHODE ISLAND.|588|562 II|534 Il|445|27|16||21|25|28||26||
Bristol town||||||||||||||
Central Falls||||||||||||||
Cranston (exclusive of)|142|141|105|40|47|10||1|7|35|1|1||
State institutions|210 IF|210|119 li|88|59|22||||90|1|||
Cumberland town|264|260|194 II|109|60 I|12|1|10|2|65|1|4||
East Providence town|313|306|153 II|69|46|11|3|9|15|147|6|6||1
Newport Pawtucket|134|134|78|29|35|12||2||56||||
|252 Il|240 Il|180 II|85|64|27|1|1|2|60||12||
Providence|334 Il|308 Il|224 Il|120|58|18|1|1|26|83|1|25||1
Warwick town|785 II|780 Il|456 Il|179|202|67|4|2|2|320|4|5||
West Warwick town||||||||||||||
Woonsocket|3,185|3,065|1,984|891|769|226|12|38|48|1.065|16|118||2
SOUTH CAROLINA.|183|182 Il|114 Il|75|30|5||2|2|64|4|1||
Anderson|152|152 Il|90 Il|21|54|15||||62||||
Charleston.|515|512 Il|303|98|137|56|2|2|8|207|2|8||
Columbia*||||||||||||||
Florence. Greenville|245|157|154|133|||1|12|8|1|2|88||
Spartanburg|1,457|484|420 Il|287|42|24|6|17|44|58|6|973||
|1,257|602 l'|580 Il|357|13|10|2|56|142|13|9|655||
TENNESSEE.|252 II|129 Il|127 Il|104|2|1||9|11|1|1|123||
Chattanoogs|326 Il|173 Il|169 II|162|1|1||5||1|3|153||
Jackson|358 II|187 Il|"185 ||"|158|1|3|1|7|15|2||171||
Johnson City*||||||||||||||
Knoxville||||||||||||||
Memphis|928|515|474|333|14|10|2|50|65|20|21|408||
Nashville|299 Il|147 Il|144 II|109|4|2|1|9|19||3|152||
TEXAS.|314 II|264 Il|253 II|204|8|7|2|18|14|7|4|50||
|1,192 II|922 II|877 Il|569|12|7|2|172|115|15|30|268 I||2
Beaumont Dallas|2,876 Il|1,424 II|1,216 II|723|52|26|10|154|251|121|87|1,451 I||1
El Paso|1,978|1,167 II|1,064|796|28|24|8|89|119|86|17|811||
Galveston||||||||||||||
Houston San Antonio|455|258|200|132|18|4|3|14|29|28|30|196||1
|1,985 II|1,563 II|1,379 Il|899|103|53|13|130|181|143|41|420|2|
UTAH.|2,086|2,009 Il|1,236 Il|391|526|96|26|61|136|678|95|67|2|8
Ogden|656|468 Il|306 Il|144|88|33|3|9|29|158|4|184|3|1
Provo|1,851|1,251 Il|928 Il|434|128|70|33|101|162|242|81|599||1
Salt Lake City|2,678|2,456|1,772 Il|710|522|202|34|98|206|647|37|218||4
I Nor||||||||||||||
|400|376|257|140|55|41|2|5|14|113|6|8|10|6
|164|161 Il|123 Il|71|23|10|3|5|11|34|4|1||2
|1,503 Il|"1, 473 I|"|"1,006 """|511|221|147|9|37 I|81|433|34|18 I|15|2

||||||||||||||
||||||WHITE.||||||||
||||||Native.||||||||
||||||One foreign|parent born,|Parentage unknown||||||Air
REGISTRATION AREA.|All deaths.|||||the|other-||||Nativ-|Negro.|Japa- nese.|Other col-
||Total.|Total.|Both parents|Both parents foreign|||One parent||Foreign born.|ity un- known.|||ored.
||||native.|born|Native:|Un- known.|un- known, the other native.|BOWN parents un- known.|||||
||||||||||||||
REGISTRATION CITIES-Continued|152|152|91|49|15|11|2|8|6|60|1|||
VERMONT.|390 II|389 I|314|180|56|44|1|18|15|65|10|||1
Barre||||||||||||||
Burlington|202 Il|201 Il|158 II|106|26|14|2|3|7|41|2|1||
Rutland||||||||||||||
VIRGINIA.|254|167|162|115|2|1|1|28|15|4|1|87||
Alexandria|144 il|98 Il|92 Il|78|1|3||5|5|6||46||
Charlottesville|325 Il|215 II|212 II|165|2|1|1|19|24|3||110||
Danville.|441 II|281 Il|271|205|9|10||21|26|9|1|160||
Lynchburg||||||||||||||
Newport News|400 Il|140 I|117|95|7|6|2|2|5|21|2|260||
Norfolk|1,565|757 II|669|546|34|29||5|55|79|9|806||2
Petersburg|576|244|232|185|8|8|2|13|16|10|2|332||
Portsmouth Richmond|728 II|291 Il|272 II|224|9|3||23|13|17|2|436|1|
Roanoke|2,567|1,491 II|1,360|1,047|66|59|5|75|108|104|27|1.076||
Staunton|707|537 Il|516 II|402|13|9|1|48|43|18|3|170||
WASHINGTON.|251|216|208|154|3|6||9|36|6|2|35||
Aberdeen Bellingham|143|142|88|44|10.|16|2|8|8|53|1|1||
Everett|266 II|264 II|193 Il|100|30|20|2|17|24|65|6|||2
Hoquiam|255|Il 250 il|166|II 82|24|27|.3|13|17|78|6|4||1
Seattle|75 Il|73 Il|51 II|30|7|11||1|2|21|1||1|1
Spokane.|2,839|II 2,643 Il|1,766 II|912|347|215|35|94|163|810|67|48|116|32
Tacoma Vancouver|1,315|1,297|955|562|175|96|10|52|60|317|25|12|2|4
Walla Walla|1,051|1,020|689 Il|355|140|67|16|45|66|301|30|19|11|1
Yakima|143|141|110 Il|72|14|5||7|12|30|1||1|1
VIRGINIA.|250|247 Il|204 II|118|24|14|5|10|33|41|2|||8
WEST|302|284|233|130|27|34|3|13|26|45|6|9|4|5
Wheeling.||||||||||||||
WISCONSIN.|869|826|656|873|144|52|11|34|42|161|9|43||
Appleton Ashland||||||||||||||
Beloit|262|262|171|90|54|16||1|10|90|1|||
Eau Claire*|197 Il|195|98 I|40|37|10|2|4|5|95|2|||2
Fond du Lac|204|Il 190 Il|155|82|39|17||8|9|35||14||
Green Bay|222 II|292|II 104 II|01 I|61 I|on|2|8|19|105|2 I|||
Janesville||||-|-|-||.|-|-|o|||
Kenosha|306 Il|305|211 l'|105|71|17|7|4|7|91|3|1||
La Crosse|531|527|364|139|95|51|15|40|24|153|10|1||3
Madison|197 II|197|160 Il|90|37|16|4|5|8|37||||
Manitowoc|323|Il 322|209 Il|71|99|23|1|6|9|110|3|1||
Marinette Milwaukee.|524|Il 524|346|151|118|84|7|14|22|172|6|||
Oshkosh|426|421|301|123|112|29|6|18|13|117|3|5||
Racine|226|Il 226|149|70|62|14|2||1|71|6|||
Sheboygan|155|Il 155 Il|80|34|22|17|1|2|4.|71|4|||
Stevens Point|4,587|il 4,554|Il 2,846|1,011|1,274|360|34|59|108|1,678|30|29||4
||||||||||||||
Superior Waukesha|445|445|275|126|87|32|5|6|19|167|3|||
Wausau|589 Il|587|385|II 171|155|49||1|9|199|3|2||
West Allis|344|Il 344|196 Il|81|88|17|1|2|7|146|2|||
|139|Il 139|88 Il|50|13|10|2|3|10|51||||
No|446|441|244|99|80|'46|1|3|15|181|16|2||3
|140|Il 140 I|101|Il 50|32|11|2|2|4|38|1|||
|264|II 264|1l 162|Il 84|41|17||6|14|102||||
|127|Il 127|Il 86 Il|33|34 I|11|3|2|3|41||||
||Il|Il Il|||||||||||

|||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.||deaths.|Under 1 year.|1 year.|2 years.|3 years.|4 years|years.|years.|Under55t910t1415t19/20t2425t29 years.|years.|years.|years.
|SUMMARY.|||||||||||||
1|The registration area (exclu-|White|910,573|138,503|24,572|12,163|8,871|7,181|191,290|23,373|15,538|20,430|26,668|29,412
|sive of Hawaii)|Colored|121,436|21,508|4,335|1,732|1,052|771 IF|29,398|2,685|2,667|5,559|8,269|7,628
||||||||||||||
2|Registration states|White|895,593|135,876|24,022|11,951|8,735|7,078|187,662|23,029|15,258|19,949|25,956|28,680
||Colored|114,080|20,453|4,120|1,654|1,021|734|27,982|2,558|2,549|5,225|7,652|7,021
3|Cities in registration states 1|White|475,465|70,804|12,330|6,194|4,816|3,869|98,013|12,847|7,899|10,108|14,254|16,841
||Colored|48,516|7,683|1.585|639|325|241|10,473|832|907|1,894|3,339|3,518
4|Rural part of registration states.|White|420,128|65,072|11,692|5,757|3,919|3,209 IE|89,649|10,182|7,359|9,841|11,702|11,839
||Colored|65,564|12,770|2,535|1,015|696|493|17,509|1,726|1,642|3,331|4,313|3,503
5|Registration cities in nonregistra- tion states|White Colored|14,980|2,627|550|212|136|103|3,628|344|280|481|712|732
||White|7.356 Il|1.055|215|78|31|37|1.416|127|118|334|617|607
6|All registration cities|Colored|490,445 Il|73,431|12,880|6,406|4,952|3,972 Il|101,641|13,191|8.179|10,589|14,966|17,573
|||55,872|8,738|1,800|717|356|278|11,889|959|1,025|2,228|3,956|4,125
|REGISTRATION STATES.|||||||||||||
7|California|White|44,650|4,334|768|403|309|256|6,070|1,014|655|954|1,358|1,593
||Colored|2,727|472|92|59|32|19|674|52|41|64|137|132
8|Cities|White|26,184|2,260|414|199|179|146|3,198|581|322|515|781|882
||Colored|1,597|241|51|33|19|12|356|24|22|43|87|90
9|Rural districts|White Colored|18,466|2,074|354|204|130|110|2,872|433|333|439|577|711
|||1,130|231|41|26|13|7|318 Il|28|19|21|50|42
10|Colorado|White|11,498|1,669|286|144|105|83|2,287|338|243|316|500|639
||Colored White|380|36|15|5|1|2|59|6|13|13|32|40
11|Cities|Colored|5,275|596|102|53|41|28 II|820|132|90|129|223|313
||White|230|17|6|3|1|1|28 II|5|6|8|15|22
12|Rural districts|Colored|6,223|1,073|184|91|64|55|1,467|206|153|187|277|326
|||150|19|9|2||1|31 Il|1|7|5|17|18
13|Connecticut|White Colored|15,743|2,426|400|194|146|114|3,280|360|235|300|401|493
14|Cities|White|424|66|22|7|4|2 Il|101 I|17|5|13|26|28
||Colored|11,764|1,931|324|161|121|88|2,625 II|292|183|282|320|406
15|Rural districts|White|355|59|20|7|3|2 Il|91|15|3|11|21|19
||Colored|3,979|495|76|33|25|26 Il|655 Il|68|52|68|"81 |"|87
||White|69|7|2||1||10|2|2|2|5|4
16|Delaware|Colored|2,375|373|58|23|19|18|491|51|40|42|70|56
17|Cities|White|595|121|21|6|4|2|154|13|15|30|31|29
||Colored White|1,166|211|33|18|9|8 IF|279|28|15|21|36|30
18|Rural districts|Colored|195|36|5|2||Il|43|4|4|10|14|14
|||1,209|162|25|5|10|10 Il|212|23|25|21|34|26
|Florida|White|400|85|16|4|4|2|111|9|11|20|17|15
19||Colored White|7,022|977|227|123|71|39|1,437|158|106|181|281|251
20|Cities|Colored|4,752|758|135|71|43|17|1,024 II|86|87|216|324|349
|districts|White|2,029|280|50|19|14|6|369 Il|31|26|51|58|97
21|Rural|Colored|1,595|262|45|30|10|10|357 II|29|23|63|113|136
|||4,993|697|177|104|57|33|1,068 Il|127|80|130|173|154
22|Illinois|White|3,157|496|90|41|33|7|667 Il|57|64|153|211|213
23|Cities|Colored White|69,867|10,187|1,951|974|766|647|14,525|2,075|1,283|1,546|2,027|2,320
||Colored|3,557|487|97|48|40|21 II|693 l'|68|66|131|228|274
24|Rural districts|White|42,260|6,492|1,270|601|515|430|9,308|1,370|809|936|1,292|1,541
||Colored|2,791|394|83|41|32|17|567|55|52|91|180|235
||White|27,607|3,695|681|373|251|217 Il|5,217|705|474|610|735|779
25|Indiana|Colored|766|93|14|7|8|4|126|13|14|40|48|39
26|Cities|White Colored|33,685|4,641|853|449|297|238|6,478|836|558|784|930|1,025
||White|1,535|220|50|19|11|7 Il|307|28|33|63|88|95
27|Rural districts|Colored|13,340|2,047|338|177|137|92|2,791|386|228|327|413|540
|||1,236|192|42|18|9|7 Il|268 il|23|31|53|72|84
28|Kansas|White|20,345|2,594|515|272|160|146|3,687|450|330|457|517|485
||Colored|299|28|8|1|2|II|39|5|2|10|16|11
29|Cities|White Colored.|17,051|2,463|395|241|174|163|3,436|436|334|383|438|441
30|Rural districts|White|1,055|134|22|11|3|5 Il|175|19|24|47|52|62
||Colored|4,677|652|101|52|49|43 Il|897|118|77|111|145|158
|||655|81|17|7|2|21|109 Il|10|19|31|34|39
31|Kentucky|White|12,374|1,811|294|189|125|120|2,539|318|257|272|193|283
||Colored White|400|53|5|4|1|3 Il|66|9|5|16|18|23
32|Cities|Colored.|21,512|3.682|979|427|275|219|5,582|595|431|677|875|746
33|Rural districts|White|4,157|486|109|37|25|22|679|72|79|209|301|299
||Colored|4,951|574|110|61|30|31|806 I|97|78|138|171|187
34|Louisiana|White|1,460|132|27|11|4|9|183 [|19|17|58|92|109
||Colored|16,561|3,108|869|366|245|188|4,776|498|353|539|704|559
35|Cities|White|2,697|354|82|26|21|13|496 II|53|62|151|209|190
36|Rural districts|Colored. White|10,355|1,661|379|156|104|91|2,391|238|206|302|399|463
||Colored.|9,748|1,640|296|124|73|51|2,184 II|198|228|512|732|636
||White|5,094|552|134|52|45|28|811|91|90|127|200|255
37|Maine|Colored|3.566|507|89|32|19|7|654|44|72|171|294|282
||White|5,261|1,109|245|104|59|63|1,580|147|116|175|199|208
38|Cities|Colored|6,182|1,133|207|92|54|44|1,530|154|156|341|438|354
39|Rural districts|White Colored|10,789|1,556|199|91|55|59|1,960|190|141|211|227|238
|||26|3|1||||4|1||2|2|1
|||3,240|408|63|36|22|10|539 il|74|53|59|80|101
|||9|1|||||1||||1|1
|||7,549|1,148|136|55|33|49|Il 1,421 Il|116|88|152|147|137
|||17|2|1||||3|II 1||2|1|

||||||DEATHS|AT AGE|OF-|||||||Deaths
80 to 84 years.|35 to 39 years.|40 44 years.|45 49 years.|50 54 years.|55 59 years.|60 to 64 years.|65 to 69 years.|70 to 74 years.|75 79 years.|0 to 84 years.|85 89 years.|90 94 years.|95 99 years.|100 years and over.|at un- known age.
80.183|34,547|35,539|41.073|47,896|52,770|65.795|69.174|72.012|67,203|48.815|26.903|8.950|1.965|330|707
6,471|7.734|7.089|7.298|6,917|5,287|5,445|4,611|4,609|3,395|2,594|1,495|828|406|580|471 II
|||||||||||||||
29,529|33,740|34,811|-40,274|47,041|51,991|64,819|68,287|71,147|66,520|48,309|26,694|8,879|1,943|323|692
5,925|7,097|6,512|6,682|6,333|4,987|5,159|4,429|4,455|3,308|2,532|1,449|806|393|566|460 2
17,681|20,392|21,266|25,025|29,010|31,446|36,663|35,678|34,021|29,236|20,065|10,670|3,415|732|114|89
3,111|3,809|3,663|3,557|3,297|2.430|2,285|1.653|1,466|972|610|305|136|81|99|79 o
11.848|18.348|13,545|15,249|18,031|20,545|28.156|32,609|37.126|37.284|28.304|16.024|5.464|1.211|209|003
2,814|3.288|2,849|3,125|3.036|2,557|2,874|2,776|2,989|2,336|1.922|1,144|670|312|467|381 4
054|807|728|799|855|779|976|887|865|683|446|209|71|22|7|15
546|637|577|616|584|800|286|182|154|87|62|46|22|13|14|11 5
18.335|21.199|21.994|25.824|29,865|32,225|37.639|36,565|34.886|29,919|20.511|10.879|3,486|754|121|104
3,657|4.446|4.240|4.173|3.881|2.730|2.571|1,835|1.620|1.059|672|351|158|94|113|90 o
|||||||||||||||
1.709|2.143|2.201|2,448|2.817|2.937|3.482|3.584|3.759|3.438|2.472|1.389|491|110|22|4
149|168|170|167|176|169|197|136|119|66|42|29|16|6|14|3
964|1.257|1.307|1.503|1.792|1.859|2.210|2.193|2.299|1.983|1.440|774|257|55|10|2K
