|||||||DEATHS|OCCURRING|IN-||||
Portsmouth|448|428|398|289|31|18|4|25|31|27|3|20||
Salem|143|139|125|88|17|7|2|4|7|14||4||
Sandusky|304|291|195|93|62|19|1|7|13|90|6|13||
Springfield|729|625|552|401|56|23|1|20|51|68|5|104||
Steubenville|354|333|249|129|74|18|4|6|18|77|7|20||1
Tiffin|205|204|178|107|40|10|2|7|12|25|1|1||
Toledo|3,047|2,888|2,145|1,181|489|226|25|88|136|704|39|156||3
Warren|376|354|275|169|50|24|4|13|15|72|7|22||
Youngstown|1,554|1,426|966|388|381|101|16|31|49|437|23|128||
Zanesville|469|446|405|286|29|18|4|37|31|36|5|23||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|ity un- known.|||
REGISTRATION CITIES-Continued. OKLAHOMA.4||||||||||||||
Oklahoma City|1,039|886|785|481|22|26|11|84|161|59|42|149||4
OREGON.||||||||||||||
Astoria|173|163|91|38|24|9|3|1|16|71|1||1|9
Eugene|198|197|165|89|5|10|2|18|41|31|1|1||
Portland|2,892|2,794|1,999|966|331|161|41|201|299|739|56|21|24|53
Salem (exclusive of)|236|231|180|107|16|11|3|20|23|43|8|1||4
State institutions|277|262|171|82|28|6|5|17|33|83|8|2|4|9
PENNSYLVANIA.||||||||||||||
Allentown|1,182|1,176|1,017|773|143|40|5|38|18|151|8|6||
Altoona|773|746|657|486|105|32|2|20|12|87|2|27||
Ambridge|123|121|76|23|47|5|||1|43|2|2||
Beaver Falls|191|180|136|62|40|12|4|3|15|44||11||
Berwick|116|116|106|71|22|5|1|4|3|10||||
Bethlehem|459|450|370|207|118|15|4|7|19|79|1|9||
Braddock|371|343|211|75|108|18|3|4|3|129|3|28||
Bradford|230|222|182|98|39|10|3|16|16|37|3|8||
Bristol|140|132|107|61|35|5|2|2|2|24|1|8||
Butler|297|292|250|177|45|16|1|5|6|40|2|5||
Canonsburg|120|112|92|30|45|9|3|4|1|20||8||
Carbondale|315|315|224|122|78|16|3|4|1|90|1|||
Carlisle|173|156|153|134|6|2|2|5|4|2|1|17||
Carnegie|101|.98|64|28|24|11|1|||33|1|3||
Carrick|83|81|46|26|10|8|1|1||35||2||
Chambersburg|176|167|166|127|11|9|1|10|8|1||9||
Charleroi|95|87|61|26|27|7||1||25|1|8||
Chester|761|608|476|231|156|50|5|21|13|125|7|151||2
Coatesville|116|96|78|62|8|6||2||17|1|20||
Columbia|152|149|128|105|11|4|1|3|4|20|1|3||
Connellsville|145|131|102|68|20|6|1|6|1|27|2|14||
Dickson City|95|95|64|22|33|9||||31||||
Donora|110|92|75|27|39|7||2||16|1|18||
Du Bois|178|177|138|91|30|10||4|3|39||1||
Dunmore|267|266|199|52|68|12|1|29|37|67||1||
Duquesne|213|196|157|34|103|13|4||3|39||17||
Easton|493|487|414|302|61|21|5|17|8|72|1|6||
Erie|1,190|1,177|837|402|250|75|15|17|78|314|26|13||
Farrell|141|119|75|13|54|4|1|3||42|2|22||
Greensburg|278|270|191|140|23|16|1|4|7|78|1|8||
Harrisburg|1,047|959|871|721|62|43|4|26|15|83|5|88||
Hazleton|479|478|327|142|119|52|2|5|7|149|2|||1
Homestead|162|152|105|45|55|3||1|1|46|1|10||
Jeannette|88|87|70|38|19|10|2||1|17||1||
Johnstown|1,002|972|764|453|227|56|5|10|13|204|4|30||
Lancaster|777|765|709|615|37|19|2|15|21|52|4|12||
Lebanon|381|377|356|307|22|4|3|15|5|20|1|4||
McKees Rocks|167|161|110|29|68|10|1|1|1|50|1|6||
McKeesport|634|601|401|169|156|57|3|11|5|196|4|33||
Mahanoy City|172|172|125|54|55|13|1||2|45|2|||
Meadville|213|204|183|128|30|13|1|6|5|21||9||
Monessen|130|127|103|27|68|5|2||1|23|1|3||
Mount Carmel|199|199|132|65|50|14||2|1|67||||
Nanticoke|298|298|176|49|93|26|3|1|4|122||||
New Castle|575|554|447|254|123|32|5|13|20|105|2|21||
New Kensington|178|166|117|64|38|10||1|4|47|2|12||
Norristown*|609|567|432|267|96|32|3|15|19|129|6|42||
North Braddock|124|117|82|27|34|17|1||3|35||7||
Oil City|251|251|210|139|40|19|1|10|1|41||||
Old Forge|128|128|89|19|52|16||1|1|39||||
Olyphant|98|98|68|13|34|19|1|1||30||||
Philadelphia|23,697|21,206|14,680|7,289|4,433|1,416|190|475|877|6,271|255|2,470||21
Phoenixville|141|138|110|64|36|7|1|2||28||3||
Pittsburgh|8,499|7,684|5,361|2,605|1,910|618|31|107|90|2,289|34|801|1|13
Pittston|281|280|175|60|100|13|||2|105||1||

||||||WHITE.||||||||
||||||Native.||||||||
REGISTRATION AREA.|All deaths.|||||One foreign the|parent born, other-|Parentage unknown.|||Nativ-|Negro.|Japa- nese.|Other col- ored.
||Total.|Total.|Both parents native.|Both parents foreign born.|Native.|Un- known.|One parent un- known, the other native.|Both parents un- known.|Foreign born.|ity un- known.|||
REGISTRATION CITIES-Continued. PENNSYLVANIA-continued||||||||||||||
Plymouth|160|160|110|51|42|12|1|4||50||||
Pottstown|274|262|242|208|16|7||8|3|19|1|11||1
Pottsville|392|389|299|196|68|23|5|3|4|87|3|3||
Punxsutawney|160|160|127|85|25|14|1|1|1|33||||
Reading|1,437|1,425|1,267|1,019|149|57|4|21|17|154|4|10||2
Scranton|1,949|1,939|1,221|523|495|126|15|34|28|708|10|10||
Shamokin|224|224|189|133|34|18|2|2||35||||
Sharon|247|233|167|97|47|9|4|8|2|65|1|14||
Shenandoah|323|323|231|61|132|27|4|1|6|89|3|||
Steelton|121|85|69|39|21|5||2|2|16||36||
Sunbury|199|199|193|180|3|2||3|5|6||||
Swissvale|123|116|96|64|19|9|1|2|1|18|2|7||
Tamaqua|127|127|99|61|24|6|2|2|4|28||||
Uniontown|303|270|208|148|35|8|1|7|9|58|4|33||
Warren|184|184|137|70|23|15|6|12|11|47||||
Washington|366|331|284|204|41|15|1|12|11|47||35||
West Chester*|324|270|239|195|17|10|3|10|4|29|2|54||
Wilkes-Barre|1,122|1,116|746|360|257|85|8|22|14|362|8|5||1
Wilkinsburg|314|299|240|153|34|24|3|10|16|56|3|15||
Williamsport|567|547|478|352|52|35|5|24|10|61|8|20||
Woodlawn|100|89|66|21|41|2||1|1|22|1|11||
York|588|562|534|445|27|16||21|25|28||26||
RHODE ISLAND.||||||||||||||
Bristol town|142|141|105|40|47|10||1|7|35|1|1||
Central Falls|210|210|119|38|59|22||||90|1|||
Cranston (exclusive of)|264|260|194|109|60|12|1|10|2|65|1|4||
State institutions|313|306|153|69|46|11|3|9|15|147|6|6||1
Cumberland town|134|134|78|29|35|12||2||56||||
East Providence town|252|240|180|85|64|27|1|1|2|60||12||
Newport|334|308|224|120|58|18|1|1|26|83|1|25||1
Pawtucket|785|780|456|179|202|67|4|2|2|320|4|5||
Providence|3,185|3,065|1,984|891|769|226|12|38|48|1,065|16|118||2
Warwick town|183|182|114|75|30|5||2|2|64|4|1||
West Warwick town|152|152|90|21|54|15||||62||||
Woonsocket|515|512|303|98|137|56|2|2|8|207|2|3||
SOUTH CAROLINA.||||||||||||||
Anderson|245|157|154|133|||1|12|8|1|2|88||
Charleston|1,457|484|420|287|42|24|6|17|44|58|6|973||
Columbia*|1,257|602|580|357|13|10|2|56|142|13|9|655||
Florence|252|129|127|104|2|1||9|11|1|1|123||
Greenville|326|173|169|162|1|1||5||1|3|153||
Spartanburg|358|187|185|158|1|3|1|7|15|2||171||
TENNESSEE.||||||||||||||
Chattanooga|923|515|474|333|14|10|2|50|65|20|21|408||
Jackson|299|147|144|109|4|2|1|9|19||3|152||
Johnson City*|314|264|253|204|8|7|2|18|14|7|4|50||
Knoxville|1,192|922|877|569|12|7|2|172|115|15|30|268||2
Memphis|2,876|1,424|1,216|723|52|26|10|154|251|121|87|1,451||1
Nashville|1,978|1,167|1,064|796|28|24|8|89|119|86|17|811||
TEXAS.1||||||||||||||
Beaumont|455|258|200|132|18|4|3|14|29|28|30|196||1
Dallas|1,985|1,563|1,379|899|103|53|13|130|181|143|41|420|2|
El Paso|2,086|2,009|1,236|391|526|96|26|61|136|678|95|67|2|8
Galveston|656|468|306|144|88|33|3|9|29|158|4|184|3|1
Houston|1,851|1,251|928|434|128|70|33|101|162|242|81|599||1
San Antonio|2,678|2,456|1,772|710|522|202|34|98|206|647|37|218||4
UTAH.||||||||||||||
Ogden|400|376|257|140|55|41|2|5|14|113|6|8|10|6
Provo|164|161|123|71|23|10|3|5|11|34|4|1||2
Salt Lake City|1,503|1,473|,006|511|221|147|9|37|81|433|34|13|15|2

"cities"" indicates municipalities [The term"|of by|asterisks|(*) contain|||||||||||
||||||WHITE.||||||||
||||||Native.||||||||
||||||One foreign the|parent born, other-|Parentage unknown.||Foreign|Nativ- ity un-|Negro.|Japa- nese.|Other col- ored.
REGISTRATION AREA.|All deaths.|Total.|Total.|Both parents native.|Both parents foreign born.|Native:|Un- known.|One parent un- known, the other native.|Both parents un- known.|born.|known.|||
||||||||||||||
REGISTRATION CITIES-Continued.|||||||2|8|6|60|1|||i
VERMONT.|||91|49|15|11|1|18|15|65|10 2|1||
|152|152 389|314|180|56|44 14|2|3|7|41||||
Barre|390|201|158|106|26|||||||||
Burlington|202||||||||||1|87||
Rutland||||||1|1|28|15|4 6||46||
VIRGINIA.|||162|115|2|3||5|5|3||110||
|254|167|92|78|1|1|1|19|24||1|160||
Alexandria|144|98 215|212|165|2|10||21|26|9 21|2|260||2
Charlottesville|325|281|271|205|9 7|6|2|2|5|79|9|806||
Danville|441|140|117|95|34|29||5|55|||||
Lynchburg|400||669|546||||||10|2|332||
Newport News|1,565|757||||8|2|13|16|17|2|436|1|
Norfolk|||232|185|8|3||23|13||27|1,076||
|576|244 291|272|224|9|59|5|75|108|104 18|3|170||
Petersburg|728||1,360|1,047|66|9|1|48|43|6|2|35||
Portsmouth|567|1,491 537|516|402|13|6||9|36|||||
Richmond|707||208|154|3|||||||||
Roanoke|251|216||||||||||||
Staunton||||||||8||8 53||1 1||2
||||44|10|16|2|17|24|65||6||1
WASHINGTON.|143|142|88|100|30|20|2||17|78||6|4|1
||264|193|||27|.3|13||21||1|1|
Aberdeen|266||166|82|24|11||1||2||48|116|32
Bellingham|255|250|51|30||7 215|35|94|163|810|67|||
Everett|75|73|1,766|912|347||||||25|12||2 4
Hoquiam|2,839|2,643||||96|10|52|60|317||30 19|11|1
Seattle|||955|562|175|67|16|45||66 301||1||1 1
|1,315|1,297||355|140||||7|12 30||||3
Spokane|1,051|1,020|689|72||5 14||10||33 41||2||4 5
|143|141|110|118||14 24||5||26|45|6|9|
Tacoma|||204|||34||3 13||||||
Vancouver|250|247 284|233|130||27||||||||
Walla Walla|302|||||||||||||
Yakima|||||||||34|42 161||9|43|
WEST VIRGINIA.1||869 826|656|373||144 52||11||||||
Wheeling|||||||||1|10|90|1||2
WISCONSIN.|||171||90|54 16||2|4|5|95|2||
||262|262|98|40|37|10||8|9|35||14|
Appleton||197|195|155|82|39|17||8|12|125|3||
Ashland||204|190|194|91|61|20|2|4|7|91|3|1|
Beloit||322|322|211|105|71|17|7|||||1|3
Eau Claire*||306|305|||||15|40|24|153|10||
Fond du Lac||||364|139|95|51|4|5|8|37|||
||531|527 197|160|90|37|16 23|1|6|9|110|3|1|
Green Bay||197||209|71|99||7|14|22|172|6||
Janesville||323|322|346|151|118|34||||||5|
Kenosha||524|524|||||6|18|13|117|3||
La Crosse||||301|123|112|29|2||1|71|6||
||426|421|149|70|62|14|1|2|4|71|4||4
Madison||226|226|80|34|22|17|34|59|108|1,678|30|29|
Manitowoc||155|155||1,011|1,274|360|||||||
Marinette||4,587|4,554|2,846||||5|6|19|167|3||
Milwaukee||||275|126|87|32||1|9|199|3|2|
||445|445|385|171|155|49|1|2|7|146|2||
Oshkosh||589|587|196|81|88|17||3|10|51|||
Racine||344|344|88|50|13|10|2||||||3
Sheboygan||139|139|||||1|3|15|181|16|2|
Stevens Point|||441|244|99|80|46|2|2|4|38|1||
||446||101|50|32|11||6|14|102|||
Superior||140|140|162|84|41|17||2|3|41|||
Waukesha||264|264|86|33|34|11|3||||||
Wausau||127|127|||||||||||
West Allis|||||||||registration|of deaths.||||
|||the only|cities|shown are|those with|satisfactory|||||||

|||||||DEATHS|AT AGE|OF-|||||
|AREA AND COLOR.|All deaths.|Under 1 year.|1 year.|2 years.|3 years.|4 years|Under 5 years.|5 to 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.|
|SUMMARY.|||||||191,290|23,373|15,538|20,430|26,668|29,412|
|The registration area White|910,573|138,503|24,572|12,163|8,871 1,052|7,181 771|29,398|2,685|2,667|5,559|8,269|7,628|
1|sive of Hawaii) Colored|121,436|21,508|4,335|1,732|||||15,258|19,949|25,956|28,680|
|White|895,593|135,876|24,022|11,951|8,735 1,021|7,078 734|187,662 27,982|23,029 2,558|2,549|225|7,652|7,021 16,841|
2|Registration states 1 Colored|114,080|20,453|4,120|1,654|4,816|3,869|98,013|12,847|7,899|10,108|14,254|3,518|
|White|475,4 465|70,804|12,330|6,194|325|241|10,473|832|907|1, 894|3,339|11,839|
3|Cities in registration states 1 Colored|48,516|7,683|1,585|639|3,919|3,209|89,649|10,182|7,359|9,841|11,702||
|White|420,128|65,072|11,692|5,757|696|493|17,509|1,726|1,642|3,331|4,313|3,503|
4|Rural part of registration states Colored|65,564|12,770|2,535|1,015|||||280|481|712|732|
|cities in nonregistra- White|14,980|2,627|550|212|136 31|103 37|3,628 1,416|344 127|118|334|617|607|
5|Registration Colored|7,356|1,055|215|78||3,972|101,641|13,191|8,179|10,589|14,966|17,573|
|tion states White|490,445|73,431|12,880|6,406|4,952 356|278|11,889|959|1,025|2,228|3,956|4,125|
6|All registration cities 1 Colored|55,872|8,738|1,800|717|||||||||
|REGISTRATION STATES.||||||||1,014|655|954|1,358|1,593|
|White|44,650|4,334|768|403|309 32|256 19|6,070 674|52|41|64|137|132|
7|California Colored|2,727|472|92|59|179|146|3,198|581|322|515|781|882|
|White|26,184|2,260|414|199|19|12|356|24|22|43|87|90|
8|Cities Colored|1,597|241|51|33||110|2,872|433|333|439|577|711|
|White|18,466|2,074|354|204|130 13|7|318|28|19|21|50|42|
9|Rural districts Colored|1,130|231|41|26||||||||639|
|||||||83|2,287|338|243|316|500||
|White|11,498|1,669|286|144|105|2|59|6|13|13|32|40|
10|Colorado Colored|380|36|15|5|1 41|28|820|132|90|129|223|313|
|White|5,275|596|102|53|1|1|28|5|6|8|15|22|
11|Cities Colored|230|17|6|3|64|55|1,467|206|153|187|277|326|
|White|6,223|1,073|184|91||1|31|1|7|5|17|18|
12|Rural districts Colored|150|19|9|2|||||||||
||||||146|114|3,280|360|235|300|401|493|
|White|15,743|2,426|400|194|4|2|101|17|5|13|26|23|
13|Connecticut Colored|424|66|22|7|121|88|2,625|292|183|232|320|406|
|White|11,764|1,931|324|161|3|2|91|15|3|11|21|19|
14|Cities Colored|355|59|20||7 25|26|655|68|52|68|81|87|
|White|3,979|495|76|33||1|10||2 2|2|5|4|
15|Rural districts Colored|69||7|2||||||||56|
|||||||||51|40|42|70||
|White|2,375|373|58|23|19 6|18 4 2|491 154|13|15|30|31|29|
16|Delaware Colored|595|121|21|||8|279|28|15|21|36|30|
|White|1,66|211|33||18|9|43||4|4 10|14|14|
17|Cities Colored|195||36|5|2|10|212|23|25|21|34|26|
|White|1,209|162||25|5|10 2|111||9 11|20|17|15|
|18 Rural districts Colored|400||85|16|4|4|||||||
|White|7,022||977 227|123||71 39 17|1,437 1,024|158|106 86 87|181 216|231 324|251 349|
|Florida 19 Colored|4,752||758 135||71|43 6|369||31|26 51|58|97|
||||280|50|19|14|||||||
|White|2,029|||||10|357||29|23 63|113|136|
|Cities 20 Colored|1,595||262|45|30|10||127||80 130|173|154|
|White|4,993||697|177|104|57 33|1,068 7 667||57|64 153|211|213|
|21 Rural districts Colored|3,157||496|90|41|33|||||||
|||||||766 647|14,525|2,075|1,283|1,546|2,027|2,320|
|White|69,867|10,187|1,951||974||||68|66 131|228|274|
|22 Illinois Colored|3,557||487|97|48|40 21|693|1,370||809 936|1,292|1,541|
|White|42,260|6,492|1,270||601|515 430 17 32|9,308 567||55|52|91 180|235|
|23 Cities Colored|2,791||394|83|41||||705|474|610 735|779|
|White|27,607|3,695||681|373|251 217|5,217 126||13|14|40|48|39
|24 Rural districts Colored||766|93|14|7|8|4||||||
|||||||||||558|784|930 1,025|
|White|33,685|4,641||853|449|297 238|6,478||836 28|33|63|88|95
|25 Indiana Colored|1,535||220|50|19|11|7 92|307|386|228|327|413|540
|White|13,340||2,047|338|177|137|2,791 7|268|23|31|53|72|84
|26 Cities Colored||1,236|192|42|18|9|||450|330|457|517|485
|White|20,345||2,594|515|272|160|146 3,687|||2|10|16|11
|27 Rural districts Colored||299|28|8|1|2||39|5||||
|White|17,051||2,463|395|241|174|163 3,436||436|334|383 47|438 52|441 62
|28 Kansas Colored||1,055|134|22|11|3|5|175|19|24|||
|White||4,677|652|101|52|49|43|897|118 10|77 19|111 31|145 34|158 39
|29 Cities Colored||655|81|17|7|2|2|109|||272|193|283
|White||12,374|1,811|294|189|125|120 2,539||318|257 5|16|18|23
|30 Rural districts Colored||400|53|5|4|1|3|66|9||||
|White||21,512|3,682|979|427|275|219 5,582||595|431|677 209|875 301|746 299
|31 Kentucky Colored||4,157|486|109|37|25|22|679|72|79||171|187
|White||4,951|574|110|61|30|31|806|97|78|138||109
|32 Cities Colored||1,460|132|27|11|4|9|183|19 498|17 353|58 539|92 704|559
|White||16,561|3,108|869|366|245|188|4,776||||209|190
|33 Rural districts Colored||2,697|354|82|26|21|13|496|53|62|151||
|White||10,355|1,661|379|156|104|91|2,391|238|206|302|399|463
|34 Louisiana Colored||9,748|1,640|296|124|73|51|2,184|198|228|512 127|732 200|636 255
|White||5,094|552|134|52|45|28|811|91|90||294|282
|35 Cities Colored||3,566|507|89|32|19|7|654|44|72|171||208
|White Rural districts||5,261|1,109|245|104|59|63|1,580|147 154|116 156|175 341|199 438|354
|36|Colored|6,182|1,133|207|92|54|44|1,530|||||
|White||10,789|1,556|199|91|55|59|1,960|190|141|211|227|238
|37 Maine|Colored|26|3|1||||4|1||2|2|1
|White||3,240|408|63|36|22|10|539|74|53|59|80|101
|38 Cities|Colored|9|1|||||1||||1|1
||White|7,549|1,148|136|55|33|49|1,421|116|88|152|147|137
|39 Rural districts|Colored|17|2|1||||3|1||2|1|

||||||DEATHS|AT AGE|OF-|||||||Deaths|
30 to 34 years.|35 to 39 years.|40 to 44 years.|45 to 49 years.|50 to 54 years.|55 to 59 years.|60 to 64 years.|65 to 69 years.|70 to 74 years.|75 to 79 years.|80 to 84 years.|85 to 89 years.|90 to 94 years.|95 to 99 years.|100 years and over.|at un- known age.|
30,183 6,471|34,547 7,734|35,539 7,089|41,073 7,298|47,896 6,917|52,770 5,287|65,795 5,445|69,174 4,611|72,012 4,609|67,203 3,395|48,815 2,594|26,903 1,495|8,950 828|1,965 406|330 580|707 471|1
29,529|33,740|34,811|40,274|47,041|51,991|64,819|68,287|71,147|66,520|48,369|26,694|8,879|1,943|323|692|
5,925|7,097|6,512|6,682|6,333|4,987|5,159|4,429|4,455|3,308|2,532|1,449|806|393|566|460|2
17,681|20,392|21,266|25,025|29,010|31,446|36,663|35,678|34,021|29,236|20,065|10,670|3,415|732|114|89|
3,111|3,809|3,663|3,557|3,297|2,430|2,285|1,653|1,466|972|610|305|136|81|99|79|3
11,848|13,348|13,545|15,249|18,031|20,545|28,156|32,609|37,126|37,284|28,304|16,024|5,464|1,211|209|603|
2,814|3,288|2,849|3,125|3,036|2,557|2,874|2,776|2,989|2,336|1,922|1,144|670|312|467|381|4
654|807|728|799|855|779|976|887|865|683|446|209|71|22|7|15|
546|637|577|616|584|300|286|182|154|87|62|46|22|13|14|11|5
18,335|21,199|21,994|25,824|29,865|32,225|37,639|36,565|34,886|29,919|20,511|10,879|3,486|754|121|104|6
3,657|4,446|4,240|4,173|3,881|2,730|2,571|1,835|1,620|1,059|672|351|158|94|113|90|
1,709|2,143|2,201|2,448|2,817|2,937|3,482|3,584|3,759|3,438|2,472|1,389|491|110|22|4|7
149|168|170|167|176|169|197|136|119|66|42|29|16|6|14|3|
964|1,257|1,307|1,503|1,792|1,859|2,210|2,193|2,299|-1,983|1,440|774|257|55|10|2|8
89|107|112|113|107|116|119|83|62|27|17|13|4|2|2|2|
745|886|894|945|1,025|1,078|1,272|1,391|1,460|1,455|1,032|615|234|55|12|2|
60|61|58|54|69|53|78|53|57|39|25|16|12|4|12|1|9
546|587|552|566|634|650|760|717|755|596|467|235|67|27|4|12|
37|27|30|24|18|15|14|21|8|3|9|5|3|1|1|1|10
279 24|297 19|268 23|303 17|320 11|339 10|390 10|356 14|353 4|277 2|231 6|114 3|29 1|8|2 1|2 1|11
267|290|284|263|314|311|370|361|402|319|236|121|38|19|2|10|12
13|8|7|7|7|5|4|7|4|1|3|2|2|1|||
528|564|601|773|856|985|1,194|1,168|1,270|1,183|819|493|173|56|5|6|13
21|35|25|26|17|21|17|23|16|22|8|7||||1|
416|454|458|630|664|775|864|854|903|771|497|283|102|31|2|2|14
17|31|22|25|15|16|14|16|14|16|5|4|||||
112|110|143|143|192|210|330|314|367|412|322|210|71|25|3|4|
4|4|3|1|2|5|3|7|2|6|3|3||||1|15
68|72|81|78|112|133|178|210|221|208|165|65|30|2|2||
18|25|43|25|38|27|48|19|39|22|7|6|2|2|2||16
35|38|47|47|67|73|90|98|92|80|55|22|12||1||
10|11|13|6|14|12|12|7|11|6||1|1|1|1||17
33|34|34|31|45|60|88|112|129|128|110|43|18|2|1||
8|14|30|19|24|15|36|12|28|16|7|5|1|1|1||18
222|271|319|330|377|380|465|577|578|509|364|142|63|9|4|48|
305|368|337|361|287|210|169|151|149|102|65|41|24|17|29|51|19
74|79|116|121|141|123|145|189|135|125|80|46|14|2||7|
127|152|122|143|86|65|57|41|29|17|17|5|4|2|4|3|20
148|192|203|209|236|257|320|388|443|384|284|96|49|7|4|41|21
178|216|215|218|201|145|112|110|120|85|48|36|20|15|25|48|
2,488|2,810|8,832|3,284|3,869|4,243|5,112|4,994|5,091|4,698|3,614|2,146|720|158|22|10|22
228|313|253|282|228|178|162|144|114|85|55|25|13|5|11|1|
1,706|1,933|1,897|2,259|2,632|2,865|3,215|2,849|2,605|2,206|1,557|902|299|69|8|2|
186|260|203|229|199|131|113|106|81|45|29|18|5||5|1|23
782|877|935|1,025|1,237|1,378|1,897|2,145|2,486|2,492|2,057|1,244|421|89|14|8|24
42|53|50|53|29|47|49|38|33|40|26|7|8|5|6||
1,012|1,098|1,099|1,247|1,595|1,846|2,421|2,804|3,131|2,938|2,262|1,150|375|75|6|15|25
83|119|119|89|101|84|82|59|76|35|31|22|5|4|6|6|
518|561|524|613|715|785|951|1,028|1,026|875|611|323|105|18|1|1|
70|104|107|72|81|63|59|42|49|19|16|12|3|3|4|1|26
494|537|575|634|880|1,061|1,470|1,776|,105|2,063|1,651|827|270|57|5|14|27
13|15|12|17|20|21|23|17|27|16|15|10|2|1|2|5|
449|536|538|673|702|824|1,091|1,345|1,557|1,649|1,250|657|240|55|3|14|28
49|76|63|62|55|66|64|47|56|49|43|23|7|4|10|2|
149|157|188|246|227|280|334|363|382|365|269|148|42|16|1|4|
34|46|43|43|34|48|42|26|29|22|22|14|3|4|3||29
300|379|350|427|475|544|757|982|1,175|1,284|981|509|198|39|2|10|30
15|30|20|19|21|18|22|21|27|27|21|9|4||7|2|
690|741|729|793|870|973|1,357|1,435|1,539|1,565|1,100|548|190|38|7|31|31
200|240|225|260|275|248|245|193|181|147|105|83|36|17|23|40|
186|208|221|257|264|323|436|407|378|386|256|108|37|5||2|
79|103|104|124|136|105|106|71|58|41|20|16|4|4|7|4|32
504|533|508|536|606|650|921|1,028|1,161|1,179|844|440|153|33|7|29|33
121|137|121|136|139|143|139|122|123|106|85|67|32|13|16|36|
376|472|469|502|576|554|719|760|673|549|383|233|45|27|4|14|34
515|605|542|596|546|361|381|378|379|295|253|146|97|66|71|27|
218|261|286|299|354|341|424|426|330|285|159|109|15|8|2|3|
225|280|255|270|274|167|159|116|105|73|57|32|11|15|6|4|35
158|211|183|203|222|213|295|334|343|264|224|124|30|19|2|11|
290|325|287|326|272|194|222|262|274|222|196|114|86|51|65|23|36
265 1|265 3|313|387 1|497|586 2|792|898 4|1,013 1|1,126 1|887 1|544|205 1|34 1|7|3|37
104 1|108 2|140|156 1|186|211|257|270|268|275|200 1|115|39 1|5|||38
161|157 1|173|231|311|375 2|535|628 4|745 1|851 1|687|429|166|29 1|7|3|39

|||||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|All deaths.|Under 1 year.|1 year.|2 years.|3 years.|4 years.|Under 5 years.|5 to 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.
|REGISTRATION STATES-Continued||||||||||||
|White|15,135|2,419|391|164|114|80|3,168|276|219|316|442|448
1|Maryland Colored|4,845|1,043|208|77|50|25|1,403|99|88|196|262|226
|White|9,084|1,400|256|93|68|57|1,874|166|131|170|267|279
2|Cities Colored|2,429|392|81|35|22|9|539|38|39|80|143|160
3|Rural districts White|6,051|1,019|135|71|46|23|1,294|110|88|146|175|169
|Colored|2,416|651|127|42|28|16|864|61|49|116|119|66
|White|46,899|6,865|1,126|514|389|311|9,205|1,065|656|823|1,083|1,337
4|Massachusetts Colored|888|141|53|17|6|8|225|20|14|21|47|51
5|White Cities|37,767|5,846|980|441|356|281|7,904|929|539|666|885|1,105
|Colored|759|123|46|13|5|7|194|17|9|20|42|42
6|Rural districts White|9,132|1,019|146|73|33|30|1,301|136|117|157|198|232
|Colored|129|18|7|4|1|1|31|3|5|1|5|9
7|White|42,836|7,337|1,065|572|442|359|9,775|1,296|811|992|1,152|1,384
|Michigan Colored|1,296|234|59|19|12|4|328|20|34|42|110|105
|White|20,941|4,077|635|323|248|202|5,485|745|376|499|634|861
8|Cities Colored|944|184|44|15|8|3|254|12|21|26|83|84
9|Rural districts White|21,895|3,260|430|249|194|157|4,290|551|435|493|518|523
|Colored|352|50|15|4|4|1|74|8|13|16|27|21
10|White Minnesota|22,533|3,340|393|256|186|164|4,339|594|439|612|736|838
|Colored|273|41|12|1|3|1|58|11|6|18|17|11
11|White Cities|9,654|1,198|148|116|88|75|1,625|281|160|235|344|440
|Colored|139||2||||9|1|3|12|12|8
12|Rural districts White|12,879|2,142|245|140|98|89|2,714|313|279|377|392|398
|Colored|134|34|10|1|3|1|49|10|3|6|5|3
13|White|7,325|1,243|298|191|114|89|1,935|237|176|236|247|198
|Mississippi Colored|12,625|1,914|395|209|145|106|2,769|425|363|730|930|744
|White|1,178|133|46|21|12|7|219|18|36|46|53|41
14|Cities Colored|1,813|206|43|16|9|2|276|27|38|99|154|121
15|Rural districts White|6,147|1,110|252|170|102|82|1,716|219|140|190|194|157
|Colored|10,812|1,708|352|193|136|104|2,493|398|325|631|776|623
16|Missouri White|33,661|4,218|852|431|364|270|6,135|959|663|824|995|1,094
|Colored|3,410|379|77|29|21|15|521|50|72|124|207|210
17|Cities White|15,763|1,781|285|149|139|108|2,462|416|291|380|513|578
|Colored|2,363|254|50|22|16|7|349|35|38|83|148|153
18|Rural districts White|17,898|2,437|567|282|225|162|3,673|543|372|444|482|516
|Colored|1,047|125|27|7|5|8|172|15|34|41|59|57
19|Montana White|4,382|723|98|60|34|43|958|131|102|113|114|161
|Colored|311|82|13|14|7|5|121|15|8|15|10|12
